perl-ACH	0.01
perl-AWS-Signature4	1.02
perl-AcePerl	1.92
perl-Acme-CPANAuthors	0.26
perl-Acme-CPANAuthors-British	1.05
perl-Acme-CPANAuthors-Portuguese	0.04
perl-Acme-CPANAuthors-Turkish	0.24
perl-Acme-Damn	0.08
perl-Acme-MetaSyntactic	1.015
perl-Acme-Ook	0.11
perl-Acme-PlayCode	0.12
perl-Algorithm-Annotate	0.10
perl-Algorithm-Backoff	0.009
perl-Algorithm-C3	0.11
perl-Algorithm-CheckDigits	1.3.6
perl-Algorithm-Combinatorics	0.27
perl-Algorithm-Dependency	1.112
perl-Algorithm-Dependency-Source-DBI	1.06
perl-Algorithm-Diff	1.201
perl-Algorithm-FastPermute	0.999
perl-Algorithm-GenerateSequence	0.02
perl-Algorithm-KMeans	2.05
perl-Algorithm-Merge	0.08
perl-Algorithm-Munkres	0.08
perl-Algorithm-NaiveBayes	0.04
perl-Algorithm-Numerical-Shuffle	2009110301
perl-Algorithm-Permute	0.17
perl-Algorithm-QuadTree	0.5
perl-Algorithm-RandomMatrixGeneration	0.06
perl-Algorithm-RectanglesContainingDot	0.02
perl-Algorithm-TokenBucket	0.38
perl-Alien-Base-ModuleBuild	1.17
perl-Alien-Build	2.80
perl-Alien-Build-Plugin-Download-GitLab	0.01
perl-Alien-GMP	1.16
perl-Alien-GSL	1.02
perl-Alien-Hunspell	0.17
perl-Alien-LibGumbo	0.05
perl-Alien-Libxml2	0.19
perl-Alien-SDL	1.446
perl-Alien-SVN	1.8.11.0
perl-Alien-Tidyp	1.4.7
perl-Alien-libmaxminddb	1.012
perl-Alien-libtermkey	0.22
perl-Alien-unibilium	0.15
perl-Alien-wxWidgets	0.69
perl-Alt-Crypt-RSA-BigInt	0.06
perl-Alvis-Pipeline	0.11
perl-Amazon-S3	0.63
perl-Any-Moose	0.27
perl-Any-URI-Escape	0.01
perl-AnyEvent	7.17
perl-AnyEvent-AIO	1.1
perl-AnyEvent-AggressiveIdle	0.04
perl-AnyEvent-Connector	0.03
perl-AnyEvent-HTTP	2.25
perl-AnyEvent-Handle-UDP	0.050
perl-AnyEvent-I3	0.17
perl-AnyEvent-Redis	0.24
perl-AnyEvent-Twitter-Stream	0.28
